tag_chrom,trait_reported,count
X,"""Type 2 diabetes, definitions combined""",1476
X,Mean corpuscular hemoglobin,9335
X,"""Sleep apnoea, including avohilmo""",2785
X,malignant neoplasm of male genital organs,656
X,LDL cholesterol,61
X,Temporomandibular joint disorder [Hispanic],10
X,Serum total protein level,75
X,Hypertensive diseases,28
X,Delayed reward discounting,124
X,Tuberculosis (SNP x SNP interaction),64
X,Male-pattern baldness,3808
X,Malignant neoplasm of prostate,640
X,Hypertensive diseases (excluding secondary),367
X,Gonarthrosis,44
X,Leiomyoma of uterus (controls excluding all cancers),155
X,Other follicular disorders,10
X,Other and unspecified immunodeficiencies with predominantly antibody defects,2
X,Parkinson's disease (more control exclusions),7
X,Parkinson's disease,7
X,"""Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified""",38
X,Other enthesopathies,10
X,"""Viral haemorrhagic fevers, not elsewhere classified/unspecified""",13
X,Antihypertensive medication - note that there are other indications,621
X,"Red blood cell traits [Hgb, AA]",2353
X,"""Endocrine, nutritional and metabolic diseases""",78
X,Ischemic heart diseases,270
X,Calcium levels,12
X,"Red blood cell traits [MCV, AA]",2353
X,Serum uric acid levels,22
X,Uterine fibroids,229
X,"""Type 2 diabetes, strict (exclude DM1)""",1477
X,Benign neoplasm: Adrenal gland (controls excluding all cancers),1106
X,Soft tissue disorders,136
X,Chronic pancreatitis,59
X,Body mass index,11
X,Alcohol-induced chronic pancreatitis,59
X,"""Mental and behavioural disorders due to alcohol, excluding acute intoxication""",52
X,Statin medication,1922
X,Systemic atrophies primarly affecting the central nervous system,421
X,Hemoglobin,3231
X,Other Chron's disease,131
X,3-hydroxy-1-methylpropylmercapturic acid levels in smokers [AA],165
X,Triglycerides [EA],11
X,Complications of labour and delivery,1
X,"""Diabetes, varying definitions""",825
X,Type 2 diabetes,1600
X,"""Hypothyroidism, strict autoimmune""",42
X,Rheumatoid arthritis,696
X,Chron's disease NAS,10
X,Other  prurigo,5
X,Benign neoplasm: Adrenal gland,1077
X,"""Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)""",44
X,Sleep apnoea,2877
X,Serum albumin levels,2442
X,Pure hypercholesterolaemia,1643
X,Vitiligo,9
X,Serum creatinine levels,2
X,"""Malignant neoplasm of kidney, except renal pelvis (controls excluding all cancers)""",99
X,Leiomyoma of uterus,284
X,Entropion and trichiasis of eyelid,33
X,Graves' disease,108
X,"""Parkinson's disease, strict definition""",7
X,Immune reponse to smallpox (secreted IFN-alpha) [AA],4
X,Red cell distribution width,12300
X,Renal failure,744
X,Rheumatoid arthritis [East Asian],332
X,"""Parkinson's disease, including avohilmo""",7
X,Inguinal hernia,69
X,Systolic blood pressure,40
X,Total cholesterol levels [EA],11
X,Serum alkaline phosphatase levels,739
X,Myopia (age of diagnosis),8
X,Serum levels of protein MNX1,7
